id,log_uuid,application_no,source,live_b64(live image base 64),kyc_avlb(KYC image available),f_match(face match),f_score (img match score),f_remarks,completed,completed_on,created_on,live_img_aqc,date_of_application,request_id
366297,35c57f33-a4b0-4568-9452-e5d322b2f1c7,1.39083E+12,IDFC Bank,287238258,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:22,52:35.8,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366299,a74594e3-cff4-4a1d-b53a-5271bf1588b2,1.10007E+12,Agency,287211671,TRUE,TRUE,0.96689826,Match,Match,1/10/2022 14:23,53:08.7,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366300,26749d22-5b11-43a4-b5fb-98851a48b081,1.10007E+12,NBFC SFB,287284640,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:23,53:10.1,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366301,8c815bad-af21-48c0-8aec-6402cbaa9a70,1.10007E+12,HDFC Sales,287197765,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:23,53:11.3,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366303,be9d0700-caba-4cb9-ab03-3dc8d7f5d2fa,1.5E+12,Bajaj Finance Ltd,287281730,TRUE,TRUE,0.96730375,Match,Match,1/10/2022 14:23,53:20.0,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366305,94f5a605-795d-4fb5-9440-4aeef63a2b9a,1.5E+12,Bajaj Finance Ltd,287178143,TRUE,FALSE,0.89533335,Not Match,Not Match,1/10/2022 14:23,53:39.2,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366308,c6b1774f-4200-411a-8c07-95b9d38a93c5,1.10007E+12,HDFC Bank,287172643,TRUE,TRUE,0.98421407,Match,Match,1/10/2022 14:23,53:44.7,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366309,217aed1d-f805-4a48-924c-af7ebf49adcc,1.21007E+12,H Bank Online,287205009,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/10/2022 14:23,53:44.7,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366313,0eac5efc-8463-4271-bd43-7c226710151d,1.10007E+12,HDFC Bank,287177823,TRUE,FALSE,0.8603819,Not Match,Not Match,1/10/2022 14:24,54:12.2,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366314,de62eafc-a058-49a4-bac0-25fa6b5aac06,1.35991E+12,HDFC Bank,287212220,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:24,54:13.5,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366315,770ea20f-5210-493b-9009-541e6213ef5b,1.10007E+12,HDFC Bank,287190810,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:24,54:14.7,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366316,f5e6e047-1854-4b82-8945-a4331e95d37e,1.21007E+12,H Bank Online,287166140,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:24,54:15.9,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366317,d7095bc5-a466-4436-a2c6-bf8868b61e5d,1.21007E+12,H Bank Online,287184135,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/10/2022 14:24,54:15.9,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366318,d6db0d6d-722a-4ab0-a72f-1f95c001cd20,1.21007E+12,H Bank Online,287204987,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/10/2022 14:24,54:15.9,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366319,3acdf345-6db4-4f0a-b115-585ed6c7e297,1.43007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/10/2022 14:24,54:15.9,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366320,5a73ea4d-4cdb-4f2c-9ed3-f7ad5e9be1be,1.20007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/10/2022 14:24,54:15.9,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366321,992a9240-3331-4e3a-9857-af8139f44982,1.89007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/10/2022 14:24,54:15.9,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366322,149bd61e-3fd9-4824-9754-fe1c14865ca4,1.43007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/10/2022 14:24,54:16.0,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
367043,f58fb4e9-333e-4318-887c-1590674deb8c,1.21007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367044,66481872-8612-4b5e-ba6d-9abf5ea58cb1,1.3776E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367045,6877fbd8-6722-43de-bfae-d42962e8c572,1.10007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367046,a8ca0ca2-4e2a-4898-96a0-518f8c1fe40a,1.20007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367047,5bb5a19c-13a1-4e9c-91bc-15724f9b0070,1.10007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367048,0c45a1d1-f727-4e58-88eb-0af9bbe6d026,1.10007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367049,67752f1e-8e17-42f3-909a-390ae02bd7a8,1.10007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367050,516e8bc7-e08a-47fc-8f14-475eff0ce1c3,1.10007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367051,dbe8fa2a-24b3-4149-8eda-86d9188a195b,1.21007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367052,cfa7f818-d4b0-4f11-8176-64d623df31a1,1.21007E+12,NaN,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367053,daa1b533-ffd5-463c-aa11-6a681e14ff6d,1.32618E+12,HDFC Sales,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367054,ba56e010-74c1-4861-9aca-09b6680e5dda,1.34159E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367055,7ac1aaea-a863-4d80-bf91-446042033b6f,1.33162E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367056,8d841427-883d-4131-b19b-99754b04358e,1.30961E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367057,1a228269-3627-401b-afff-348831ce6df9,1.37367E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367058,fecd74c3-f2a2-41e7-bc75-d132bbdbff78,1.10007E+12,Direct,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367059,9f61171f-1933-49b2-886f-9f33796a8886,1.33699E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:09,39:07.7,NULL,1/11/2022,b72f9ff1-1fd6-4221-a03d-77b06b6bf0f1
367274,9b122b9b-06b6-4bd9-8c44-31a6eda7e5e5,1.32618E+12,HDFC Sales,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367275,61fb5e90-256e-4494-8fc1-139dab7a4ae4,1.34159E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367276,3ac8cab3-2b0a-40fc-a674-d6b46440b697,1.33162E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367277,967f9ee6-f74b-4fac-bfb4-538aa6735853,1.30961E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367278,5e6b7561-fe4b-4aef-a1c2-6bf7115b4eec,1.37367E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367279,3617040d-ecd5-47ae-b26a-2a7a7f22b976,1.10007E+12,Direct,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367280,4e482278-e81e-4969-95ba-4b46f2740cde,1.33699E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367281,81e44bf3-a3e3-4d56-b8a2-70aaf141b688,1.10007E+12,Direct,,NULL,NULL,NULL,Live Image not found,Images not available,1/11/2022 12:17,46:55.6,NULL,1/11/2022,10c2c9c7-87e8-49f4-ae80-44221ade3d9e
367471,ce1c9957-d65d-4a4f-9dc5-bbd6ccb91429,1.10007E+12,HDFC Bank,272225453,TRUE,TRUE,0.95385283,Match,Match,1/11/2022 12:23,53:14.0,TRUE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367472,d0ac03d8-9bdb-44df-b92b-6a194f5e4279,1.10007E+12,HDFC Bank,292486128,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/11/2022 12:23,53:14.0,NULL,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367473,56262e63-be71-4ebe-af4f-91bd07dfc4d0,1.10007E+12,HDFC Bank,292487608,TRUE,TRUE,0.95608103,Match,Match,1/11/2022 12:23,53:19.6,TRUE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367474,595ea9b2-2d2e-43a1-8bea-36dc2d3ca0bf,1.10007E+12,HDFC Bank,292428603,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/11/2022 12:23,53:20.8,FALSE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367485,fcaf1d8b-cd13-4a2a-b4a1-74022ca0b406,1.10007E+12,HDFC Bank,292485567,TRUE,FALSE,0.8267628,Not Match,Not Match,1/11/2022 12:23,53:34.9,TRUE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367486,f4b59e4e-8b9c-4d57-9113-16bdb30cb3d0,1.10007E+12,HDFC Bank,292436866,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/11/2022 12:23,53:36.2,FALSE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367487,dc62442a-02b3-4441-a80f-fb442fc6b1a2,1.10007E+12,HDFC Bank,292412388,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/11/2022 12:23,53:37.5,FALSE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367499,0396c5ec-e30c-4556-aa78-59dcdefc3462,1.10007E+12,HDFC Bank,292487557,TRUE,TRUE,0.99091667,Match,Match,1/11/2022 12:23,53:42.8,TRUE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367500,9d464b19-e04b-44b2-bd28-8669f41412ae,1.10007E+12,HDFC Bank,292507055,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/11/2022 12:23,53:44.1,FALSE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
367501,d5f1164f-a116-44b5-abfb-4e6552cf26c0,1.10007E+12,HDFC Bank,278303605,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/11/2022 12:23,53:45.3,FALSE,1/11/2022,28920691-697b-4c8e-86e9-cc4278734bbd
371332,94ec7b08-e462-494e-97b2-e2ed2152453c,1.21007E+12,Online,271077383,TRUE,TRUE,0.9518765,Match,Match,1/12/2022 19:13,43:07.7,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371333,9e0b7117-bff1-4cec-a617-09108dea7608,1.21007E+12,Online,270690858,TRUE,TRUE,0.9410977,Match,Match,1/12/2022 19:13,43:22.1,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371334,a1cfe430-4b85-4f72-aca4-09a40f47d673,1.21007E+12,Online,258489281,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:13,43:23.3,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371335,7cd2c488-62a9-48be-aded-c3d5ff6c379e,1.21007E+12,Online,291826379,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:13,43:24.6,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371336,84741f0f-540e-411b-a3e7-2b506f947cae,1.21007E+12,Online,292395950,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:13,43:25.8,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371337,a6b86ff1-55be-4307-b8f8-c4d9b5113cc2,1.21007E+12,Online,291541336,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:13,43:27.0,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371338,bf994423-05d7-4268-a705-09a26afca058,1.21007E+12,Online,291334928,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:13,43:28.2,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371339,bab2836e-f665-4453-bab7-15b90c498c3c,1.21007E+12,Online,292395731,TRUE,FALSE,0.6373288,Not Match,Not Match,1/12/2022 19:14,44:20.4,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371340,45fc8a55-bdb8-4953-a575-5d04f4153f7d,1.21007E+12,Online,291409612,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:14,44:21.6,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371341,9adb5fbd-0ccb-46db-8195-75d67dbd435c,1.21007E+12,Online,292413075,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:14,44:22.9,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371342,7e5ede35-b235-4666-b3ee-16603989e2d6,1.21007E+12,Online,290754082,TRUE,TRUE,0.9576715,Match,Match,1/12/2022 19:14,44:43.2,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371343,7d3463c4-6de2-4551-8f82-8060dc0f210e,1.21007E+12,Online,292503254,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:14,44:44.4,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371344,f2be5748-7e62-44be-a258-976a58880284,1.21007E+12,Online,292889170,TRUE,TRUE,0.9877242,Match,Match,1/12/2022 19:15,45:44.0,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371345,b545b536-91fa-4d7a-bff0-e73bfbb43734,1.21007E+12,Online,291299218,TRUE,FALSE,0.8739324,Not Match,Not Match,1/12/2022 19:16,46:09.3,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371346,d050ee61-d079-49f4-91fb-9439de7ae30c,1.21007E+12,Online,292655009,TRUE,FALSE,0.85166013,Not Match,Not Match,1/12/2022 19:16,46:35.1,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371347,3b6b90f8-dc58-4787-be7b-cfeb51bd91fa,1.21007E+12,Online,292663751,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:16,46:36.3,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371348,79c34b66-4264-4a6e-816a-397dbc0e7235,1.21007E+12,Online,291912831,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/12/2022 19:16,46:36.4,NULL,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371349,0d403e39-5c19-42d0-8801-999d85edf2a5,1.21007E+12,Online,290552357,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:16,46:37.6,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371350,4c3ed805-c1c1-44dc-812c-4bee536f06d1,1.21007E+12,Online,290627458,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:16,46:38.8,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371351,88676d9e-119f-469e-9613-549b81edb81d,1.21007E+12,Online,290360346,TRUE,TRUE,0.9469108,Match,Match,1/12/2022 19:17,47:11.6,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371352,32dcde38-cb0e-485c-bab1-d98a3002d0e9,1.21007E+12,Online,290353642,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:17,47:12.9,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371353,70aae9bb-fe8a-4e2e-a050-1ab336a9d2e7,1.21007E+12,Online,290753979,TRUE,TRUE,0.9912095,Match,Match,1/12/2022 19:17,47:25.6,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371354,17c06562-7e85-49eb-8255-4600a54d407e,1.21007E+12,Online,291350655,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/12/2022 19:17,47:25.6,NULL,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371355,2ff74d83-bd3b-4a31-9fb6-057b27b169b5,1.21007E+12,Online,290050697,TRUE,FALSE,0.77367085,Not Match,Not Match,1/12/2022 19:17,47:46.9,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371356,7c8de023-5cca-4ed0-96a0-c2dca4d55738,1.21007E+12,Online,290360321,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:17,47:48.1,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371357,b47a6ae1-a173-4727-bfe3-618e02722538,1.21007E+12,Online,292901811,NULL,NULL,NULL,Reference Documents Not Available,Images not available,1/12/2022 19:17,47:48.1,NULL,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371358,b660fec9-4bca-4390-bfbb-faa78db03619,1.21007E+12,Online,289044644,TRUE,FALSE,0.8512008,Not Match,Not Match,1/12/2022 19:18,48:21.4,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371359,dc8c072a-e382-429d-98a7-95ea3a4c019d,1.21007E+12,Online,289468660,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:18,48:22.6,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371360,fec7a876-5d4a-42b9-96b5-e8823eef2ab2,1.21007E+12,Online,289079990,TRUE,TRUE,0.954242,Match,Match,1/12/2022 19:18,48:32.5,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371361,45f8ab90-941d-45dd-a9d7-bc0d8f47e0c2,1.21007E+12,Online,292048292,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:18,48:33.7,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371362,a364f907-3d47-45a0-b67e-085753c69410,1.21007E+12,Online,290934788,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:18,48:34.9,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371363,a2718089-128b-4000-8de3-a72fd744a994,1.21007E+12,Online,283821636,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:18,48:36.2,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371364,f3e03eb9-607c-4f71-a384-f120c6563b2a,1.21007E+12,Online,283640316,TRUE,TRUE,0.97448,Match,Match,1/12/2022 19:18,48:49.3,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371365,599c9734-7f8c-4981-a945-163dbfdf8919,1.21007E+12,Online,283640627,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:18,48:50.5,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371366,96b72068-35e1-49eb-9100-a40f79910534,1.21007E+12,Online,283640373,TRUE,FALSE,0.8427714,Not Match,Not Match,1/12/2022 19:19,49:04.6,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371367,b392779e-420f-4cea-92ae-9f301a7cf5c4,1.21007E+12,Online,291998181,TRUE,FALSE,0.86629266,Not Match,Not Match,1/12/2022 19:19,49:46.2,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371368,17eb3b3b-dbad-4cae-b9d8-36a2ed87b4ed,1.21007E+12,Online,291473204,TRUE,FALSE,0.90172076,Not Match,Not Match,1/12/2022 19:20,50:06.9,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371369,ca320066-a92d-4e43-8729-dd9ead765f36,1.21007E+12,Online,279902327,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:20,50:08.2,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371370,64417c8b-b63c-42b3-b947-ee8c18190d96,1.21007E+12,Online,277909290,TRUE,FALSE,0.8666939,Not Match,Not Match,1/12/2022 19:21,51:16.2,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371371,f4fb5222-a190-461c-b887-93d369b81cfd,1.21007E+12,Online,277481504,TRUE,FALSE,0.8712904,Not Match,Not Match,1/12/2022 19:22,52:05.1,TRUE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371372,fcc64437-0747-4f38-bcd9-e396114dde69,1.21007E+12,Online,273672203,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:22,52:06.4,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
371373,19542690-7372-4098-be8d-f8ea4f7f7860,1.21007E+12,Online,274100818,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/12/2022 19:22,52:07.6,FALSE,1/12/2022,f33fdb4c-7134-475b-8209-99377efa5245
